t,x_gt,y_gt,vx_gt,vy_gt,psi_gt,ax_imu,ay_imu,omega_imu,Bx_gt_nT,By_gt_nT,Bz_gt_nT
0.0,500.0,500.0,1.2217279953283082,1.0471890446942211,0.7086232617860987,0.0003095089885573468,0.0009816036286792605,9.546753024360374e-05,20000.0,-5000.0,65943.98258434632
1.0,501.2217279953283,501.0471890446942,1.2217205521432675,1.0471635254359057,0.7086142307048857,-0.00109662819244264,0.0024638481123575705,7.313320056344979e-05,20000.0,-5000.0,65841.96059568918
2.0,502.44344110428653,502.0943270508718,1.2216982226788673,1.0470869689046651,0.7085871365122449,0.0007508110748244215,-0.0015473892230119344,3.0211219854439137e-05,20000.0,-5000.0,65739.73645654653
3.0,503.66512444068604,503.14136298250355,1.2216610072071603,1.0469593788317582,0.708541976361126,0.0009336723113338584,0.001363615995488585,-4.5113619707885e-05,20000.0,-5000.0,65637.3185936989
4.0,504.88676311870086,504.1882458085353,1.2216089061815865,1.046780761435798,0.7084787455058412,-0.0020889172382810386,-0.00013117508347404737,-0.00013698464522977625,20000.0,-5000.0,65534.71548461969
5.0,506.1083422530492,505.23492450537515,1.22154192023703,1.0465511254222974,0.7083974373010391,-0.0014288930145983357,0.0005833272742743051,-0.00019092929787090958,20000.0,-5000.0,65431.93565562188
6.0,507.3298469591749,506.2813480593799,1.2214600501897053,1.046270481983413,0.7082980432005277,4.3661890363584145e-05,-0.0020200795078212184,5.074937329127343e-05,20000.0,-5000.0,65328.98767998167
7.0,508.5512623534286,507.327465469342,1.221363297037101,1.0459388447973197,0.7081805527555836,-0.0004331345778891976,0.0011699027172943012,-3.2157686909416375e-05,20000.0,-5000.0,65225.880176039675
8.0,509.7725735532491,508.37322574897456,1.2212516619581493,1.045556230027529,0.7080449536128264,-0.00013655112473811567,0.0004100029760746388,-0.00023022366414224033,20000.0,-5000.0,65122.62180528061
9.0,510.9937656773449,509.41857792939703,1.2211251463131134,1.0451226563221212,0.7078912315118536,-0.0010212507668676206,-0.0004995149697801653,-0.00015787589062016578,20000.0,-5000.0,65019.22127039233
10.0,512.2148238458753,510.4634710616188,1.2209837516435016,1.0446381448128932,0.7077193702825063,0.0007658745122163354,0.0001610468466411144,-0.0002179780636385886,20000.0,-5000.0,64915.68731330513
11.0,513.4357331806319,511.5078542190228,1.2208274796722662,1.0441027191142496,0.7075293518415824,0.0006453124062618921,-0.001357101449050526,-0.00033834338249980544,20000.0,-5000.0,64812.028713212276
12.0,514.6564788052199,512.5516764998473,1.220656332303463,1.0435164053220944,0.7073211561894527,-0.00010990204252629098,-0.0012144494928281633,-0.0001953706546780253,20000.0,-5000.0,64708.254284572715
13.0,515.8770458452389,513.594887029667,1.220470311622364,1.0428792320125808,0.7070947614061079,0.0009790463385316343,-0.0011446405249830455,-0.0002867836399829045,20000.0,-5000.0,64604.37287509659
14.0,517.0974194284646,514.6374349638725,1.2202694198957715,1.042191230240519,0.7068501436466468,0.00027795489555451793,-0.0026405183974576984,-0.00037129793740024427,20000.0,-5000.0,64500.39336371533
15.0,518.3175846850304,515.679269490148,1.220053659571363,1.0414524335381543,0.7065872771370105,-0.0011169883468047515,0.00013218392265980817,-0.0004545495385916107,20000.0,-5000.0,64396.32465853635
16.0,519.5375267476073,516.7203398309488,1.2198230332780895,1.0406628779135758,0.7063061341688008,0.00014549910631030723,0.00042452300235534465,-0.0004832903519739977,20000.0,-5000.0,64292.17569478372
17.0,520.7572307515866,517.7605952459752,1.2195775438261762,1.0398226018484138,0.7060066850936012,-0.0012503034854210125,-0.0015951205441224192,-0.00035445689240125446,20000.0,-5000.0,64187.95543272625
18.0,521.9766818352597,518.7999850346456,1.2193171942067238,1.0389316462965894,0.7056888983176384,0.00064594399076967,-0.0005540894126938675,-0.00033747426002354316,20000.0,-5000.0,64083.672855593286
19.0,523.19586514,519.8384585385684,1.2190419875921066,1.0379900546820977,0.7053527402953443,-0.00033456398711229865,-0.0012430892373388092,-0.00045338525946501967,20000.0,-5000.0,63979.33696747955
20.0,524.4147658104439,520.8759651440098,1.2187519273355178,1.036997872896677,0.7049981755228876,-0.0004897703243832012,-0.0006759977729778011,-0.00028347690702466654,20000.0,-5000.0,63874.95679124029
21.0,525.6333689946711,521.9124542843617,1.2184470169713109,1.0359551492979335,0.7046251665312769,-0.0010206039971334937,-0.0017207450104670592,-0.0003903401444919064,20000.0,-5000.0,63770.54136637732
